AFF_LOVE_POINT	Sevgi Puani: %%%d
COMB_WILL_REMOVE_MATERIAL	Kostum 2 yok ediliyor.
CREATE_ERROR_GM_NAME	Karakter isminizde, GM ismini kullanamazsiniz.
CREATE_ERROR_INSULT_NAME	Bu isim hatali.
CREATE_ERROR_LIMIT_LEVEL	Karakterin en az seviye 80 olmali.
CREATE_ERROR_TIME_LIMIT	Sadece her 30 saniyede bir karakter olusturabilirsin.
CREATE_ERROR_WRONG_STRING	Karakter ismin ozel karakter iceremez.
CREATE_EXIST_SAME_NAME	Bu ismi zaten baska bir karakter kullaniyor.
CREATE_FAILURE	Karakteri yaratamazsin.
CREATE_FULL	Baska karakter olusturamazsin.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Ismi gir.
CREATE_PLUS_STAT	Hala statu puanin var.
DAY	Gun
ONE_DAY	Dzień
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Sorgulama sirasinda nesne hareket ettiremezsin.
DO_YOU_BUY_ITEM1	Satin almak istiyor musun? Nesne: %s Fiyat: %s
DO_YOU_BUY_ITEM2	Satin almak istiyor musun? Nesne: %s %s Fiyat: %s
DO_YOU_BUY_ITEM_ALL_SIMILAR	(Kup wszystkie przedmioty tego typu)
DO_YOU_DROP_MONEY	%d Yang birakmak istiyor musun?
DO_YOU_SELL_ITEM1	Satmak istiyor musun? Nesne: %s Fiyat: %s
DO_YOU_SELL_ITEM2	Satmak istiyor musun? Adet: %s  Esya: %s  Fiyat: %s
DRAGON_SOUL_CANNOT_REFINE	Bu ejderha tasi arindirilamaz.
DRAGON_SOUL_CANNOT_REFINE_MORE	Bu ejderha tasi en yuksek seviyeye ulasti bile.
DRAGON_SOUL_EQUIP_WARNING1	Bir ejderha tasini tekrar cikartmak zor.
DRAGON_SOUL_EQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_EXPIRED	Suresi gecmis ejderha tasi
DRAGON_SOUL_INVALID_DRAGON_SOUL	Yanlis ejderha tasi.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Bu ejderha tasi degil.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Bu dogru ejderha tasi degil.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Arindirma icin yeterli malzemen yok.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ejderha tasi bu bosluga sigmiyor.
DRAGON_SOUL_STEP_LEVEL1	Saflik: mat,
DRAGON_SOUL_STEP_LEVEL2	Saflik: parlak,
DRAGON_SOUL_STEP_LEVEL3	Saflik: tertemiz,
DRAGON_SOUL_STEP_LEVEL4	Saflik: mukemmel,
DRAGON_SOUL_STEP_LEVEL5	Saflik: kusursuz,
DRAGON_SOUL_STRENGTH	Seviye +%d	SA	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ejderha tasi kirilabilir.
DRAGON_SOUL_UNEQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_UNMATCHED_SLOT	Bu yanlis bosluk.
DRAGON_SOUL_UNQUALIFIED	Ejderha tasi simyasini henuz kullanamazsin.
DROP_ITEM_FAILURE_EQUIP_ITEM	Giyilen esyayi birakamazsin.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Ozel dukkan actigin surece nesne dusuremiyorsun.
DROP_MONEY_FAILURE_1000_OVER	En fazla 999 Yang birakabilirsin.
EMOTION_ANGRY	Can Sikici
EMOTION_ATTRACTIVE	Bastan Cikarma
EMOTION_BANTER	Kucumseme
EMOTION_CHEERS_1	Hosca Kal 1
EMOTION_CHEERS_2	Hosca Kal 2
EMOTION_CHEERUP	Alkis
EMOTION_CHOOSE_ONE	Bir hedef sec.
EMOTION_CLAP	Alkislar
EMOTION_CLAP_KISS	Opucuk
EMOTION_CONGRATULATION	Onaylama
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Affetme
EMOTION_FRENCH_KISS	Fransiz opucugu
EMOTION_JOY	Nese
EMOTION_SAD	Uzgun
EMOTION_SHY	Reddetme
EMOTION_SLAP	Cak
EMPIRE_A	Shinsoo Kralligi
EMPIRE_B	Chunjo Kralligi
EMPIRE_C	Jinno Kralligi
EMPIRE_SELECT_MODE	Krallik sec
EXCHANGE_CANNOT_GIVE	Bu nesneyi alisveriste kullanamazsin.
EXCHANGE_CANT_EDIT_MONEY	Toplami su anda degistiremezsin.
EXCHANGE_FAILURE_EQUIP_ITEM	Giyilen esyayi takas edemezsin.
EXCHANGE_MONEY	Toplam
EXCHANGE_TITLE	%s ile alisveris
EXCHANGE_TITLE_LEVEL	Handluj z %s (%d)
FISHING_FAILURE	Yemi kaybettin.
FISHING_WRONG_PLACE	Burada balik tutamazsin.
ITEM_ROD_BAIT	Przynęta: %s
FOR_FEMALE	kadin icin	
FOR_MALE	erkek icin	
GAME_CANNOT_MINING	At ustundeyken madencilik yapamazsin.
GAME_CANNOT_PICK_ITEM	Kazanmadigin icin bu nesneyi toplayamazsin.
GAME_INIT_ERROR_CURSOR	imlec tanimlanamadi.
GAME_INIT_ERROR_DIRECTX	Oyunun calisabilmesi icin DirectX 8.1 kurulu olmasi gerekiyor.\nDirectX 8.1 veya daha yuksek bir surumunu kur.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Grafik karti bulunamadi.\nEger mevcutsa, VGA kart surucunuzun dogru yuklenmis olup olmadigini kontrol edin.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafik karti kurulamadi. \n Eger VGA kartiniz varsa kontrol edin. \n Alternatif olarak, donanim hizlandiricinizi aktif edebilirsiniz. \n (Donanim Hizlandiricinizi maximuma ayarlayin \n Control Panel->Display->Settings->Advanced->Troubleshoot)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Bilgisayarinizdaki grafik karti Windows 32bit Modunu desteklemiyor.\n16bit Modunu veya tam ekran secenegini kullaniniz.
GAME_INIT_ERROR_ITEM_PROTO	Nesne bilgileri yok.\nOyunu tekrar yukleyiniz.
GAME_INIT_ERROR_MAIN_WINDOW	Anayapi olusturulamiyor.
GAME_INIT_ERROR_MOB_PROTO	Canavar bilgileri yok.\nOyunu tekrar yukleyiniz.
GAME_INIT_ERROR_NETWORK	Baglanti kurulamiyor.\ninternet baglantinizi kontrol ediniz.
GAME_PICK_MONEY	%d Yang Kazandin.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Yukseklik 128 Pixel degil
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Yukseklik 12 Pixel degil
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Genislik 16 Pixel degil
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Genislik 64 Pixel degil
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Oyun bu resmi desteklemiyor.
GUILDMARK_UPLOADER_ERROR_PATH	Bilgiyi metin2/upload klasorune tasi.
GUILDMARK_UPLOADER_ERROR_SELECT	Resim dosyasi secilmedi.
GUILDWAR_CTF_TITLE	Bayrak ele gecirildi.
GUILDWAR_NORMAL_TITLE	Meydan Savasi
GUILDWAR_QUESTION_LINE_1	%s loncasi, senin loncana savas ilan etti.
GUILDWAR_QUESTION_LINE_2	kabul ediyor musun? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena Savasi
GUILD_BUILDING_GRADE	Siralama
GUILD_BUILDING_NAME	Binanin ismi
GUILD_CANNOT_HEAL_GSP_ANYMORE	Ejderha Hayaleti Enerjisi tamamen yuklenmis durumda.
GUILD_COMMENT	Yaz
GUILD_CREATE_ERROR_INSULT_NAME	Lonca adi hatali
GUILD_DEFAULT_GRADE	Lonca uyeleri
GUILD_DELETE	Sil
GUILD_DEPOSIT	Depozit
GUILD_DO_YOU_HEAL_GSP	%d Yang kullanarak %d Ejderha Hayaleti yuklemek ister misin?
GUILD_DO_YOU_JOIN	  seni davet ediyor. Loncaya katilmak istiyor musun?
GUILD_EMPTY_AREA	Bos alan
GUILD_ENEMY_GUILD_NAME	Dusmanin Lonca adi
GUILD_FACILITY	Ek bina
GUILD_GEM	Degerli tas
GUILD_HEADQUARTER	Ana bina
GUILD_HEAL_GSP	Ejderha Hayaleti Yukle
GUILD_INFO_ENEMY_GUILD_EMPTY	Bos
GUILD_MARK_NOT_ENOUGH_LEVEL	En az 3. seviye gerekir
GUILD_NAME	Lonca adi
GUILD_NOT_ENOUGH_MATERIAL	Bu bina icin yeterli insaat malzemesine sahip degilsin.
GUILD_NOT_ENOUGH_MONEY	Bu bina icin yeterli Yang'a sahip degilsin.
GUILD_NO_NOTICE_PERMISSION	Duyuru yapmak icin gerekli iznin yok.
GUILD_OBJECT	Nesne
GUILD_OFFER_EXP	Tecrube yatir
GUILD_SHORT_EXP	Yeterli Tecrube Puani yok.
GUILD_TILE_BASEINFO	Temel bilgiler
GUILD_TILE_BOARD	Kara tahta
GUILD_TILE_GRADE	Yonetici Pozisyonu
GUILD_TILE_INFO	Lonca bilgileri
GUILD_TILE_MEMBER	Lonca uyeleri
GUILD_TILE_SKILL	Lonca becerisi
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Lonca Savasi Bolgesi
GUILD_WAR2	Lonca Savasi Bolgesi
GUILD_WAR3	Lonca Savasi Bolgesi
GUILD_WAR4	Lonca Savasi Bolgesi
GUILD_WAR_LIMIT_30MIN	Zaman: 30 dakika
GUILD_WAR_REWARD_POTION	Odul: Yenen iksir kazanacak
GUILD_WAR_USE_BATTLE_MAP	Yer: Lonca Savasi Arenasi
GUILD_WAR_USE_NORMAL_MAP	Yer: Normal Harita
GUILD_WAR_WIN_CHECK_SCORE	Savasi en yuksek skor kazanir
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Dusmanin bayragini ele gecir
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ve kendi ussune gotur.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Kazanmak icin tum dusmanlari oldur.
GUILD_WITHDRAW	Geri cekil.
GUILD_YOU_DO_NOT_JOIN	Bir Loncaya uye degilsin.
HORSE_HEALTH0	Olu
HORSE_HEALTH1	Ac kalmis halde
HORSE_HEALTH2	Acikmis halde
HORSE_HEALTH3	Tok
HORSE_LEVEL1	Normal at
HORSE_LEVEL2	Savas Ati
HORSE_LEVEL3	Asker at
HOUR	Saat
HOUR_SHORT	g.
HOW_MANY_ITEM_DO_YOU_DROP1	%s atmak istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP2	%s %d atmak istiyor musun?
WHAT_ACTION_WITH_ITEM1	Co chcesz zrobić z %s?
WHAT_ACTION_WITH_ITEM2	Co chcesz zrobić z %dx %s?
CONFIRM_DELETE_ITEM_QUESTION	Czy chcesz usunąć %dx %s?
CONFIRM_DELETE_ITEM_QUESTION2	Proces jest nieodwracalny!
ITEM_ACTION_DROP	Wyrzuć
ITEM_ACTON_DELETE	Usuń
INPUT_MATRIX_CARD_NUMBER	Matrix Kart Numarani gir.
INPUT_MATRIX_CARD_TITLE	Matrix Kart
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Hesap ayarlarinizdaki silme-kodunu buraya giriniz.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakteri sil
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Donus Rolesi
INVENTORY_REALLY_USE_ITEM	Esyayi bu nesneye uygula?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amator Ninja
JOB_ASSASSIN1	Ninjalarin Gucu
JOB_ASSASSIN2	Olumsuz
JOB_SHAMAN	Saman
JOB_SHAMAN0	Amator saman
JOB_SHAMAN1	Ejderhanin Gucu
JOB_SHAMAN2	Simsek Gucu
JOB_SURA	Sura
JOB_SURA0	Amator Sura
JOB_SURA1	Buyulu Silah Gucu
JOB_SURA2	Kara Buyunun Gucu
JOB_WARRIOR	Savasci
JOB_WARRIOR0	Amator Savasci
JOB_WARRIOR1	Bedensel Guc
JOB_WARRIOR2	Zihinsel Guc
LEFT_TIME	Kalan Sure
LEFT_USE_TIME	Pozostały Czas Używania
LOGIN_CONNECT_FAILURE	Sunucuya baglanirken hata
LOGIN_CONNECT_SUCCESS	Sunucuya baglandin.
LOGIN_CONNETING	Sunucuya baglaniyorsun...
LOGIN_FAILURE_ALREAY	Hesap zaten bagli.
LOGIN_FAILURE_BE_SAME_KEY	Kayit problemi
LOGIN_FAILURE_BLOCK_ID	Hesabiniz engellendi!
LOGIN_FAILURE_BLOCK_LOGIN	Lutfen baska server sec!
LOGIN_FAILURE_NOBILL	Hesabinizin oyun suresi yok.
LOGIN_FAILURE_NOT_AVAIL	Hesabiniz kullanilamaz.
LOGIN_FAILURE_NOT_EXIST_ID	Hesap ismi veya sifre yanlis.
LOGIN_FAILURE_REPAIR_ID	Bu hesap icin, nesneler yuklendi.
LOGIN_FAILURE_SAMELOGIN	Biri senin hesabinla giris yapti.
LOGIN_FAILURE_SHUTDOWN	Sunucu henuz acilmadi.
LOGIN_FAILURE_TOO_MANY_USER	Cok fazla kullanici bagli oldugu icin baglanamazsiniz.
LOGIN_FAILURE_UNKNOWN	Bilinmeyen bir nedenle kaydolamadiniz.
LOGIN_FAILURE_WEB_BLOCK	Web sitesine erisiminiz engellendi. Lutfen E-Postanizi kontrol ediniz.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Yanlis numara girdiniz.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	3 kere yanlis numara girdiniz. Baglantiniz kesildi.
LOGIN_FAILURE_WRONG_PASSWORD	Hesap ismi veya sifre yanlis.
LOGIN_FAILURE_NEW_PASSWORD	Ustaw nowe hasło na stronie.
LOGIN_FAILURE_NOT_ACTIVE	Konto nie jest aktywowane. Sprawdź pocztę e-mail.
LOGIN_FAILURE_NO_PREMIUM	Wybrany kanał dostępny jest tylko dla kont Premium.
LOGIN_FAILURE_DISPUTE	Konto jest tymczasowo zablokowane do rozwiązania sporu.
LOGIN_FAILURE_UPDATE	Wymagana aktualizacja klienta gry przez Patcher.
LOGIN_FAILURE_MAINTENANCE	Obecnie trwa przerwa techniczna.
LOGIN_FAILURE_ERROR	Wystąpił błąd podczas łączenia z kanałem.
LOGIN_INPUT_ID	ID nizi yazin.
LOGIN_INPUT_PASSWORD	Sifreyi gir.
LOGIN_INPUT_PIN	Wpisz swój PIN.
LOGIN_PROCESSING	Giris islemi yapiliyor...
MALL_CANNOT_INSERT	Nesne icin yeriniz yok.
MALL_PASSWORD_TITLE	Sifre
MAP_A1	Yongan Bolgesi
MAP_A2	Seungryong Vadisi
MAP_A2_1	
MAP_A3	Yayang Bolgesi
MAP_AG	Jungrang
MAP_B1	Joan Bolgesi
MAP_B2	Imji Vadisi
MAP_B3	Bokjung Bolgesi
MAP_BAY	Nefrit Korfezi
MAP_BAYBLACKSAND	Nefrit Korfezi
MAP_BG	Waryong
MAP_C1	Pyungmoo Bolgesi
MAP_C2	Bangsan Vadisi
MAP_C3	Bakra Bolgesi
MAP_CAPE	Ejderha Atesi Burnu
MAP_CAPEDRAGONHEAD	Ejderha Atesi Burnu
MAP_CG	Imha
MAP_DAWN	Gautama Ucurumu
MAP_DAWNMISTWOOD	Gautama Ucurumu
MAP_DESERT	Yongbi Colu
MAP_DEVILCATACOMB	Seytan Katakombu
MAP_DEVILTOWER1	Seytan Kulesi
MAP_DUEL	Egitim Dovusu Arenasi
MAP_E	Koloni
MAP_EMPIREWAR01	Kale Savasi
MAP_EMPIREWAR02	Kale Savasi
MAP_EMPIREWAR03	Kale Savasi
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Imparatorluk Savasi - Col Diyari
MAP_HOLYPLACE_FLAME	Imparatorluk Savasi - Ates Diyari
MAP_HOLYPLACE_ICE	Imparatorluk Savasi - Buz Dagi
MAP_MILGYO	Hwang Tapinagi
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Yildirim Daglari
MAP_NUSLUCK	Devler Diyari
MAP_NUSLUCK01	Devler Diyari
MAP_N_DESERT_01	Yongbi Colu
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ates Diyari
MAP_N_FLAME_02	
MAP_N_FLAME_DUNGEON_01	Kirmizi Ejderha Kalesi
MAP_N_SNOWM_01	Sohan Dagi
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemere Gozlemevi
MAP_N_THREEWAY	Seungryong Vadisi
MAP_OXEVENT	OX-yarismasi
MAP_PATHWAY_DESERT_01	Imparatorluk Savasi - Col Diyari
MAP_PATHWAY_DESERT_02	Imparatorluk Savasi - Col Diyari
MAP_PATHWAY_DESERT_03	Imparatorluk Savasi - Col Diyari
MAP_PATHWAY_FLAME_01	Imparatorluk Savasi - Ates Diyari
MAP_PATHWAY_FLAME_02	Imparatorluk Savasi - Ates Diyari
MAP_PATHWAY_FLAME_03	Imparatorluk Savasi - Ates Diyari
MAP_PATHWAY_ICE_01	Imparatorluk Savasi - Buz Dagi
MAP_PATHWAY_ICE_02	Oyun Parki
MAP_PATHWAY_ICE_03	Imparatorluk Savasi - Buz Dagi
MAP_SKELTOWER	Gumsan Kulesi
MAP_SKIPIA_DUNGEON_01	Surgun Magarasi
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Surgun Magarasi 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Ejderha Tapinagi
MAP_SKIPIA_DUNGEON_BOSS_1	Orumcek Zindani 1
MAP_SKIPIA_DUNGEON_BOSS_2	Orumcek Zindani 2
MAP_SKIPIA_DUNGEON_BOSS_3	Orumcek Zindani 3
MAP_SNOW	Sohan Dagi
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Orumcek Zindani 1
MAP_SPIDERDUNGEON_02	Orumcek Zindani 2
MAP_SPIDERDUNGEON_02_1	Orumcek Zindani 2
MAP_SPIDERDUNGEON_03	Orumcek Zindani 3
MAP_SUNGZI	Imparatorluk Savasi
MAP_SUNGZI_DESERT_01	Imparatorluk Savasi - Col Diyari
MAP_SUNGZI_DESERT_HILL_01	Imparatorluk Savasi - Col Diyari
MAP_SUNGZI_DESERT_HILL_02	Imparatorluk Savasi - Col Diyari
MAP_SUNGZI_DESERT_HILL_03	Imparatorluk Savasi - Col Diyari
MAP_SUNGZI_FLAME_HILL_01	Imparatorluk Savasi - Ates Diyari
MAP_SUNGZI_FLAME_HILL_02	Imparatorluk Savasi - Ates Diyari
MAP_SUNGZI_FLAME_HILL_03	Imparatorluk Savasi - Ates Diyari
MAP_SUNGZI_SNOW	Imparatorluk Savasi - Buz Dagi
MAP_SUNGZI_SNOW_PASS01	Imparatorluk Savasi - Buz Dagi
MAP_SUNGZI_SNOW_PASS02	Imparatorluk Savasi - Buz Dagi
MAP_SUNGZI_SNOW_PASS03	Imparatorluk Savasi - Buz Dagi
MAP_T1	Lonca Savasi Bolgesi
MAP_T2	Lonca Savasi Bolgesi
MAP_T3	Lonca Savasi Bolgesi
MAP_T4	Lonca Savasi Bolgesi
MAP_TEMPLE	Hwang Tapinagi
MAP_THUNDER	Yildirim Daglari
MAP_TREE	Lungsam
MAP_TRENT	Hayalet Ormani
MAP_TRENT02	Kirmizi Orman
MAP_TRENT02_A	Kizil Orman
MAP_TRENT_A	
MAP_WEDDING_01	Dugun Koyu
MAP_WL	Yilan Vadisi
MAP_WL_01	Yilan Vadisi
MESSENGER_BLOCK	Zablokuj gracza
MESSENGER_ADD_FRIEND	Arkadas ekle
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s seni arkadas olarak ekledi.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Kabul et?
MESSENGER_DO_YOU_DELETE	Sil?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Cep telefonu numaranizi silmek istiyor musunuz?
MESSENGER_DO_YOU_MOVE	Devam etmek istiyor musun?
MESSENGER_EMPTY_LIST	Bos
MESSENGER_BLOCKED	Zablokowani
MESSENGER_FAMILY	Aile
MESSENGER_FRIEND	Arkadaslar
MESSENGER_GUILD	Lonca
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Cep telefonunuza gonderilen onay numarasini giriniz.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Onaylama kodunu gir.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Text mesajlarinin gonderilmesi icin cep telefonu numaranizi giriniz.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Numarayi simdi girmek istiyor musun?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Cep telefonu numaranizi giriniz.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Mesaj gonder.
METIN_TEST	
MINIMAP	Kucuk Haritayi ac
MINIMAP_CANNOT_SEE	Kucuk Haritayi goremezsiniz.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Kucuk Harita goruntulenemiyor.
MINIMAP_DEC_SCALE	Uzaklastir
MINIMAP_INC_SCALE	Yakinlastir
MINIMAP_OBSERVER_COUNT	%d izleyici
MINIMAP_SHOW_AREAMAP	Genel Gorunum Haritasi'ni ac
MINUTE	Dakika
MINUTE_SHORT	m.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	On Bin
MONETARY_UNIT2	Yuz Milyon
